track_id,title,artist,genre,audio_path,lyrics_path,lyrics_source
115597,ARTEMESIA PONTICA,How I Quit Crack,Experimental,data\fma_small\fma_small\115\115597.mp3,nan,
46840,Wave a White Flag (Surrender),Monk Turner,Pop,data\fma_small\fma_small\046\046840.mp3,nan,
126550,Matter001,Nate Scheible,Experimental,data\fma_small\fma_small\126\126550.mp3,nan,
152545,Where the Sunshine Goes,Yshwa,Hip-Hop,data\fma_small\fma_small\152\152545.mp3,nan,
113165,Un' Ultima Carezza,I Re della Spiaggia,Rock,data\fma_small\fma_small\113\113165.mp3,nan,
32525,I Can't Help Falling in Love with You,Secret Cities,Pop,data\fma_small\fma_small\032\032525.mp3,nan,
11508,Under The Concourse,Big Blood,Folk,data\fma_small\fma_small\011\011508.mp3,nan,
112088,Anxious,Martin Rach,Experimental,data\fma_small\fma_small\112\112088.mp3,nan,
11770,Future Music Instrumental     {6th Sense},6th Sense,Hip-Hop,data\fma_small\fma_small\011\011770.mp3,nan,
114412,October,Scott Holmes,Rock,data\fma_small\fma_small\114\114412.mp3,nan,
40122,Deep Cover,Sun Araw,Experimental,data\fma_small\fma_small\040\040122.mp3,data\lyrics\Sun Araw - Deep Cover _40122_.txt,genius
56499,Weed Man Skit,Opio,Hip-Hop,data\fma_small\fma_small\056\056499.mp3,nan,
52040,Catfishes,Poland,Pop,data\fma_small\fma_small\052\052040.mp3,data\lyrics\Poland - Catfishes _52040_.txt,genius
116883,Something Small,Joan Shelley,Folk,data\fma_small\fma_small\116\116883.mp3,data\lyrics\Joan Shelley - Something Small _116883_.txt,genius
94093,prologue: in recollection and amazement,Westy Reflector,Rock,data\fma_small\fma_small\094\094093.mp3,nan,
87189,Vegetable Gardeners,Eric & Magill,Pop,data\fma_small\fma_small\087\087189.mp3,nan,
20704,Crack For Hippies,Appetite,Pop,data\fma_small\fma_small\020\020704.mp3,nan,
145729,So On and Yo! (D.A.I.S.Y. Age Instrumental),LOWdown,Hip-Hop,data\fma_small\fma_small\145\145729.mp3,nan,
136094,Talk,Tacocat,Rock,data\fma_small\fma_small\136\136094.mp3,data\lyrics\Tacocat - Talk _136094_.txt,genius
129093,Duane Stomp,The Vivisectors,Rock,data\fma_small\fma_small\129\129093.mp3,nan,
63805,Meridian Sound (Part Three),Lushlife,Hip-Hop,data\fma_small\fma_small\063\063805.mp3,nan,
