track_id,title,artist,genre,audio_path,lyrics_path,lyrics_source,lyrics_path_api,lyrics_source_api,lyrics_path_whisper,text_path_combined,text_source_combined
115597,ARTEMESIA PONTICA,How I Quit Crack,Experimental,data\fma_small\fma_small\115\115597.mp3,nan,nan,nan,nan,data\whisper_transcriptions\whisper_transcriptions\How I Quit Crack - ARTEMESIA PONTICA 115597.txt,data\lyrics_combined\How I Quit Crack - ARTEMESIA PONTICA _115597_.txt,whisper
46840,Wave a White Flag (Surrender),Monk Turner,Pop,data\fma_small\fma_small\046\046840.mp3,nan,nan,nan,nan,data\whisper_transcriptions\whisper_transcriptions\Monk Turner - Wave a White Flag (Surrender) 46840.txt,data\lyrics_combined\Monk Turner - Wave a White Flag _Surrender_ _46840_.txt,whisper
126550,Matter001,Nate Scheible,Experimental,data\fma_small\fma_small\126\126550.mp3,nan,nan,nan,nan,data\whisper_transcriptions\whisper_transcriptions\Nate Scheible - Matter001 126550.txt,data\lyrics_combined\Nate Scheible - Matter001 _126550_.txt,whisper
152545,Where the Sunshine Goes,Yshwa,Hip-Hop,data\fma_small\fma_small\152\152545.mp3,nan,nan,nan,nan,data\whisper_transcriptions\whisper_transcriptions\Yshwa - Where the Sunshine Goes 152545.txt,data\lyrics_combined\Yshwa - Where the Sunshine Goes _152545_.txt,whisper
113165,Un' Ultima Carezza,I Re della Spiaggia,Rock,data\fma_small\fma_small\113\113165.mp3,nan,nan,nan,nan,data\whisper_transcriptions\whisper_transcriptions\I Re della Spiaggia - Un' Ultima Carezza 113165.txt,data\lyrics_combined\I Re della Spiaggia - Un_ Ultima Carezza _113165_.txt,whisper
32525,I Can't Help Falling in Love with You,Secret Cities,Pop,data\fma_small\fma_small\032\032525.mp3,nan,nan,nan,nan,data\whisper_transcriptions\whisper_transcriptions\Secret Cities - I Can't Help Falling in Love with You 32525.txt,data\lyrics_combined\Secret Cities - I Can_t Help Falling in Love with You _32525_.txt,whisper
11508,Under The Concourse,Big Blood,Folk,data\fma_small\fma_small\011\011508.mp3,nan,nan,nan,nan,data\whisper_transcriptions\whisper_transcriptions\Big Blood - Under The Concourse 11508.txt,data\lyrics_combined\Big Blood - Under The Concourse _11508_.txt,whisper
112088,Anxious,Martin Rach,Experimental,data\fma_small\fma_small\112\112088.mp3,nan,nan,nan,nan,data\whisper_transcriptions\whisper_transcriptions\Martin Rach - Anxious 112088.txt,data\lyrics_combined\Martin Rach - Anxious _112088_.txt,whisper
11770,Future Music Instrumental     {6th Sense},6th Sense,Hip-Hop,data\fma_small\fma_small\011\011770.mp3,nan,nan,nan,nan,data\whisper_transcriptions\whisper_transcriptions\6th Sense - Future Music Instrumental     {6th Sense} 11770.txt,data\lyrics_combined\6th Sense - Future Music Instrumental _6th Sense_ _11770_.txt,whisper
114412,October,Scott Holmes,Rock,data\fma_small\fma_small\114\114412.mp3,nan,nan,nan,nan,data\whisper_transcriptions\whisper_transcriptions\Scott Holmes - October 114412.txt,data\lyrics_combined\Scott Holmes - October _114412_.txt,whisper
40122,Deep Cover,Sun Araw,Experimental,data\fma_small\fma_small\040\040122.mp3,data\lyrics\Sun Araw - Deep Cover _40122_.txt,genius,data\lyrics\Sun Araw - Deep Cover _40122_.txt,genius,,data\lyrics_combined\Sun Araw - Deep Cover _40122_.txt,api
56499,Weed Man Skit,Opio,Hip-Hop,data\fma_small\fma_small\056\056499.mp3,nan,nan,nan,nan,data\whisper_transcriptions\whisper_transcriptions\Opio - Weed Man Skit 56499.txt,data\lyrics_combined\Opio - Weed Man Skit _56499_.txt,whisper
52040,Catfishes,Poland,Pop,data\fma_small\fma_small\052\052040.mp3,data\lyrics\Poland - Catfishes _52040_.txt,genius,data\lyrics\Poland - Catfishes _52040_.txt,genius,,data\lyrics_combined\Poland - Catfishes _52040_.txt,api
116883,Something Small,Joan Shelley,Folk,data\fma_small\fma_small\116\116883.mp3,data\lyrics\Joan Shelley - Something Small _116883_.txt,genius,data\lyrics\Joan Shelley - Something Small _116883_.txt,genius,,data\lyrics_combined\Joan Shelley - Something Small _116883_.txt,api
87189,Vegetable Gardeners,Eric & Magill,Pop,data\fma_small\fma_small\087\087189.mp3,nan,nan,nan,nan,data\whisper_transcriptions\whisper_transcriptions\Eric & Magill - Vegetable Gardeners 87189.txt,data\lyrics_combined\Eric _ Magill - Vegetable Gardeners _87189_.txt,whisper
20704,Crack For Hippies,Appetite,Pop,data\fma_small\fma_small\020\020704.mp3,nan,nan,nan,nan,data\whisper_transcriptions\whisper_transcriptions\Appetite - Crack For Hippies 20704.txt,data\lyrics_combined\Appetite - Crack For Hippies _20704_.txt,whisper
145729,So On and Yo! (D.A.I.S.Y. Age Instrumental),LOWdown,Hip-Hop,data\fma_small\fma_small\145\145729.mp3,nan,nan,nan,nan,data\whisper_transcriptions\whisper_transcriptions\LOWdown - So On and Yo! (D.A.I.S.Y. Age Instrumental) 145729.txt,data\lyrics_combined\LOWdown - So On and Yo_ _D.A.I.S.Y. Age Instrumental_ _145729_.txt,whisper
136094,Talk,Tacocat,Rock,data\fma_small\fma_small\136\136094.mp3,data\lyrics\Tacocat - Talk _136094_.txt,genius,data\lyrics\Tacocat - Talk _136094_.txt,genius,,data\lyrics_combined\Tacocat - Talk _136094_.txt,api
129093,Duane Stomp,The Vivisectors,Rock,data\fma_small\fma_small\129\129093.mp3,nan,nan,nan,nan,data\whisper_transcriptions\whisper_transcriptions\The Vivisectors - Duane Stomp 129093.txt,data\lyrics_combined\The Vivisectors - Duane Stomp _129093_.txt,whisper
