track_id,title,artist,genre,audio_path,lyrics_path,lyrics_source
40122,Deep Cover,Sun Araw,Experimental,data\fma_small\fma_small\040\040122.mp3,data\lyrics\Sun Araw - Deep Cover _40122_.txt,genius
52040,Catfishes,Poland,Pop,data\fma_small\fma_small\052\052040.mp3,data\lyrics\Poland - Catfishes _52040_.txt,genius
116883,Something Small,Joan Shelley,Folk,data\fma_small\fma_small\116\116883.mp3,data\lyrics\Joan Shelley - Something Small _116883_.txt,genius
136094,Talk,Tacocat,Rock,data\fma_small\fma_small\136\136094.mp3,data\lyrics\Tacocat - Talk _136094_.txt,genius
44793,Cosmic Sing-a-Long (live at WFMU),Cryptacize,Experimental,data\fma_small\fma_small\044\044793.mp3,data\lyrics\Cryptacize - Cosmic Sing-a-Long _44793_.txt,genius
97586,Waxwing,Olivia Chaney,Folk,data\fma_small\fma_small\097\097586.mp3,data\lyrics\Olivia Chaney - Waxwing _97586_.txt,genius
7712,My Room Is White,Mia Doi Todd,Folk,data\fma_small\fma_small\007\007712.mp3,data\lyrics\Mia Doi Todd - My Room Is White _7712_.txt,genius
6856,Autumn Flow,Lior,Folk,data\fma_small\fma_small\006\006856.mp3,data\lyrics\Lior - Autumn Flow _6856_.txt,genius
4685,Ever Somber,Dälek,Hip-Hop,data\fma_small\fma_small\004\004685.mp3,data\lyrics\Dälek - Ever Somber _4685_.txt,genius
67364,Ether,Andersens,Pop,data\fma_small\fma_small\067\067364.mp3,data\lyrics\Andersens - Ether _67364_.txt,genius
141304,Gone,Jules,Hip-Hop,data\fma_small\fma_small\141\141304.mp3,data\lyrics\Jules - Gone _141304_.txt,genius
13556,Let Me Go,STEEP,Rock,data\fma_small\fma_small\013\013556.mp3,data\lyrics\STEEP - Let Me Go _13556_.txt,genius
97590,The King's Horses,Olivia Chaney,Folk,data\fma_small\fma_small\097\097590.mp3,data\lyrics\Olivia Chaney - The King_s Horses _97590_.txt,genius
4777,Firecracker,Half Japanese,Rock,data\fma_small\fma_small\004\004777.mp3,data\lyrics\Half Japanese - Firecracker _4777_.txt,genius
14733,Mania,Throwing Muses,Rock,data\fma_small\fma_small\014\014733.mp3,data\lyrics\Throwing Muses - Mania _14733_.txt,genius
3904,Sometimes,Michael Chapman,Folk,data\fma_small\fma_small\003\003904.mp3,data\lyrics\Michael Chapman - Sometimes _3904_.txt,genius
20296,Part 3,Sikhara,Experimental,data\fma_small\fma_small\020\020296.mp3,data\lyrics\Sikhara - Part 3 _20296_.txt,genius
30043,Soul Hip Hop,Cullah,Hip-Hop,data\fma_small\fma_small\030\030043.mp3,data\lyrics\Cullah - Soul Hip Hop _30043_.txt,genius
89848,Not the 1s (prod. by Mexicans with Guns),Not The 1s,Hip-Hop,data\fma_small\fma_small\089\089848.mp3,data\lyrics\Not The 1s - Not the 1s _89848_.txt,genius
88861,Cien Volando,Josh Woodward,Folk,data\fma_small\fma_small\088\088861.mp3,data\lyrics\Josh Woodward - Cien Volando _88861_.txt,genius
84158,Source and the Sound,Laura Stevenson and the Cans,Folk,data\fma_small\fma_small\084\084158.mp3,data\lyrics\Laura Stevenson and the Cans - Source and the Sound _84158_.txt,genius
27547,I'm a Sir,Frau,Pop,data\fma_small\fma_small\027\027547.mp3,data\lyrics\Frau - I_m a Sir _27547_.txt,genius
62448,Julia,Jahzzar,Pop,data\fma_small\fma_small\062\062448.mp3,data\lyrics\Jahzzar - Julia _62448_.txt,genius
48269,RReplay,.RR,Experimental,data\fma_small\fma_small\048\048269.mp3,data\lyrics\.RR - RReplay _48269_.txt,genius
98581,Race With Time (Prod. Joel Johnston),Hi-Rez,Hip-Hop,data\fma_small\fma_small\098\098581.mp3,data\lyrics\Hi-Rez - Race With Time _98581_.txt,genius
13325,Methylchloroisothiazolinone,Josh Woodward,Rock,data\fma_small\fma_small\013\013325.mp3,data\lyrics\Josh Woodward - Methylchloroisothiazolinone _13325_.txt,genius
84154,Baby Bones,Laura Stevenson and the Cans,Folk,data\fma_small\fma_small\084\084154.mp3,data\lyrics\Laura Stevenson and the Cans - Baby Bones _84154_.txt,genius
126403,Forest Friends,Shy Kids,Pop,data\fma_small\fma_small\126\126403.mp3,data\lyrics\Shy Kids - Forest Friends _126403_.txt,genius
75389,City of Champions,Kellee Maize,Hip-Hop,data\fma_small\fma_small\075\075389.mp3,data\lyrics\Kellee Maize - City of Champions _75389_.txt,genius
88879,Stickybee (No Vocals),Josh Woodward,Folk,data\fma_small\fma_small\088\088879.mp3,data\lyrics\Josh Woodward - Stickybee _88879_.txt,genius
51261,The End,Casa Del Mirto,Pop,data\fma_small\fma_small\051\051261.mp3,data\lyrics\Casa Del Mirto - The End _51261_.txt,genius
71251,Not Nice (feat. NGA),Dengaz,Hip-Hop,data\fma_small\fma_small\071\071251.mp3,data\lyrics\Dengaz - Not Nice _71251_.txt,genius
101868,Cube,Reier,Experimental,data\fma_small\fma_small\101\101868.mp3,data\lyrics\Reier - Cube _101868_.txt,genius
55714,1967,et_,Rock,data\fma_small\fma_small\055\055714.mp3,data\lyrics\et_ - 1967 _55714_.txt,genius
106339,Marmalade,Julie Byrne,Folk,data\fma_small\fma_small\106\106339.mp3,data\lyrics\Julie Byrne - Marmalade _106339_.txt,genius
