track_id,audio_path,lyrics_path,has_lyrics
ABJones_1_lyrics,data\mir1k\MIR-1K\LyricsWav\ABJones_1_lyrics.wav,,False
ABJones_2_lyrics,data\mir1k\MIR-1K\LyricsWav\ABJones_2_lyrics.wav,,False
ABJones_3_lyrics,data\mir1k\MIR-1K\LyricsWav\ABJones_3_lyrics.wav,,False
ABJones_4_lyrics,data\mir1k\MIR-1K\LyricsWav\ABJones_4_lyrics.wav,,False
ABJones_5_lyrics,data\mir1k\MIR-1K\LyricsWav\ABJones_5_lyrics.wav,,False
amy_10_lyrics,data\mir1k\MIR-1K\LyricsWav\amy_10_lyrics.wav,,False
amy_11_lyrics,data\mir1k\MIR-1K\LyricsWav\amy_11_lyrics.wav,,False
amy_12_lyrics,data\mir1k\MIR-1K\LyricsWav\amy_12_lyrics.wav,,False
amy_13_lyrics,data\mir1k\MIR-1K\LyricsWav\amy_13_lyrics.wav,,False
amy_14_lyrics,data\mir1k\MIR-1K\LyricsWav\amy_14_lyrics.wav,,False
amy_15_lyrics,data\mir1k\MIR-1K\LyricsWav\amy_15_lyrics.wav,,False
amy_16_lyrics,data\mir1k\MIR-1K\LyricsWav\amy_16_lyrics.wav,,False
amy_1_lyrics,data\mir1k\MIR-1K\LyricsWav\amy_1_lyrics.wav,,False
amy_2_lyrics,data\mir1k\MIR-1K\LyricsWav\amy_2_lyrics.wav,,False
amy_3_lyrics,data\mir1k\MIR-1K\LyricsWav\amy_3_lyrics.wav,,False
amy_4_lyrics,data\mir1k\MIR-1K\LyricsWav\amy_4_lyrics.wav,,False
amy_5_lyrics,data\mir1k\MIR-1K\LyricsWav\amy_5_lyrics.wav,,False
amy_6_lyrics,data\mir1k\MIR-1K\LyricsWav\amy_6_lyrics.wav,,False
amy_7_lyrics,data\mir1k\MIR-1K\LyricsWav\amy_7_lyrics.wav,,False
amy_8_lyrics,data\mir1k\MIR-1K\LyricsWav\amy_8_lyrics.wav,,False
amy_9_lyrics,data\mir1k\MIR-1K\LyricsWav\amy_9_lyrics.wav,,False
Ani_1_lyrics,data\mir1k\MIR-1K\LyricsWav\Ani_1_lyrics.wav,,False
Ani_2_lyrics,data\mir1k\MIR-1K\LyricsWav\Ani_2_lyrics.wav,,False
Ani_3_lyrics,data\mir1k\MIR-1K\LyricsWav\Ani_3_lyrics.wav,,False
Ani_4_lyrics,data\mir1k\MIR-1K\LyricsWav\Ani_4_lyrics.wav,,False
Ani_5_lyrics,data\mir1k\MIR-1K\LyricsWav\Ani_5_lyrics.wav,,False
annar_1_lyrics,data\mir1k\MIR-1K\LyricsWav\annar_1_lyrics.wav,,False
annar_2_lyrics,data\mir1k\MIR-1K\LyricsWav\annar_2_lyrics.wav,,False
annar_3_lyrics,data\mir1k\MIR-1K\LyricsWav\annar_3_lyrics.wav,,False
annar_4_lyrics,data\mir1k\MIR-1K\LyricsWav\annar_4_lyrics.wav,,False
annar_5_lyrics,data\mir1k\MIR-1K\LyricsWav\annar_5_lyrics.wav,,False
ariel_1_lyrics,data\mir1k\MIR-1K\LyricsWav\ariel_1_lyrics.wav,,False
ariel_2_lyrics,data\mir1k\MIR-1K\LyricsWav\ariel_2_lyrics.wav,,False
ariel_3_lyrics,data\mir1k\MIR-1K\LyricsWav\ariel_3_lyrics.wav,,False
ariel_4_lyrics,data\mir1k\MIR-1K\LyricsWav\ariel_4_lyrics.wav,,False
ariel_5_lyrics,data\mir1k\MIR-1K\LyricsWav\ariel_5_lyrics.wav,,False
bobon_1_lyrics,data\mir1k\MIR-1K\LyricsWav\bobon_1_lyrics.wav,,False
bobon_2_lyrics,data\mir1k\MIR-1K\LyricsWav\bobon_2_lyrics.wav,,False
bobon_3_lyrics,data\mir1k\MIR-1K\LyricsWav\bobon_3_lyrics.wav,,False
bobon_4_lyrics,data\mir1k\MIR-1K\LyricsWav\bobon_4_lyrics.wav,,False
bobon_5_lyrics,data\mir1k\MIR-1K\LyricsWav\bobon_5_lyrics.wav,,False
bug_1_lyrics,data\mir1k\MIR-1K\LyricsWav\bug_1_lyrics.wav,,False
bug_2_lyrics,data\mir1k\MIR-1K\LyricsWav\bug_2_lyrics.wav,,False
bug_3_lyrics,data\mir1k\MIR-1K\LyricsWav\bug_3_lyrics.wav,,False
bug_4_lyrics,data\mir1k\MIR-1K\LyricsWav\bug_4_lyrics.wav,,False
bug_5_lyrics,data\mir1k\MIR-1K\LyricsWav\bug_5_lyrics.wav,,False
davidson_1_lyrics,data\mir1k\MIR-1K\LyricsWav\davidson_1_lyrics.wav,,False
davidson_2_lyrics,data\mir1k\MIR-1K\LyricsWav\davidson_2_lyrics.wav,,False
davidson_3_lyrics,data\mir1k\MIR-1K\LyricsWav\davidson_3_lyrics.wav,,False
davidson_4_lyrics,data\mir1k\MIR-1K\LyricsWav\davidson_4_lyrics.wav,,False
davidson_5_lyrics,data\mir1k\MIR-1K\LyricsWav\davidson_5_lyrics.wav,,False
fdps_1_lyrics,data\mir1k\MIR-1K\LyricsWav\fdps_1_lyrics.wav,,False
fdps_2_lyrics,data\mir1k\MIR-1K\LyricsWav\fdps_2_lyrics.wav,,False
fdps_3_lyrics,data\mir1k\MIR-1K\LyricsWav\fdps_3_lyrics.wav,,False
fdps_4_lyrics,data\mir1k\MIR-1K\LyricsWav\fdps_4_lyrics.wav,,False
fdps_5_lyrics,data\mir1k\MIR-1K\LyricsWav\fdps_5_lyrics.wav,,False
geniusturtle_1_lyrics,data\mir1k\MIR-1K\LyricsWav\geniusturtle_1_lyrics.wav,,False
geniusturtle_2_lyrics,data\mir1k\MIR-1K\LyricsWav\geniusturtle_2_lyrics.wav,,False
geniusturtle_3_lyrics,data\mir1k\MIR-1K\LyricsWav\geniusturtle_3_lyrics.wav,,False
geniusturtle_4_lyrics,data\mir1k\MIR-1K\LyricsWav\geniusturtle_4_lyrics.wav,,False
geniusturtle_5_lyrics,data\mir1k\MIR-1K\LyricsWav\geniusturtle_5_lyrics.wav,,False
geniusturtle_6_lyrics,data\mir1k\MIR-1K\LyricsWav\geniusturtle_6_lyrics.wav,,False
geniusturtle_7_lyrics,data\mir1k\MIR-1K\LyricsWav\geniusturtle_7_lyrics.wav,,False
geniusturtle_8_lyrics,data\mir1k\MIR-1K\LyricsWav\geniusturtle_8_lyrics.wav,,False
heycat_1_lyrics,data\mir1k\MIR-1K\LyricsWav\heycat_1_lyrics.wav,,False
heycat_2_lyrics,data\mir1k\MIR-1K\LyricsWav\heycat_2_lyrics.wav,,False
heycat_3_lyrics,data\mir1k\MIR-1K\LyricsWav\heycat_3_lyrics.wav,,False
heycat_4_lyrics,data\mir1k\MIR-1K\LyricsWav\heycat_4_lyrics.wav,,False
heycat_5_lyrics,data\mir1k\MIR-1K\LyricsWav\heycat_5_lyrics.wav,,False
jmzen_1_lyrics,data\mir1k\MIR-1K\LyricsWav\jmzen_1_lyrics.wav,,False
jmzen_2_lyrics,data\mir1k\MIR-1K\LyricsWav\jmzen_2_lyrics.wav,,False
jmzen_3_lyrics,data\mir1k\MIR-1K\LyricsWav\jmzen_3_lyrics.wav,,False
jmzen_4_lyrics,data\mir1k\MIR-1K\LyricsWav\jmzen_4_lyrics.wav,,False
jmzen_5_lyrics,data\mir1k\MIR-1K\LyricsWav\jmzen_5_lyrics.wav,,False
Kenshin_1_lyrics,data\mir1k\MIR-1K\LyricsWav\Kenshin_1_lyrics.wav,,False
Kenshin_2_lyrics,data\mir1k\MIR-1K\LyricsWav\Kenshin_2_lyrics.wav,,False
Kenshin_3_lyrics,data\mir1k\MIR-1K\LyricsWav\Kenshin_3_lyrics.wav,,False
Kenshin_4_lyrics,data\mir1k\MIR-1K\LyricsWav\Kenshin_4_lyrics.wav,,False
Kenshin_5_lyrics,data\mir1k\MIR-1K\LyricsWav\Kenshin_5_lyrics.wav,,False
khair_1_lyrics,data\mir1k\MIR-1K\LyricsWav\khair_1_lyrics.wav,,False
khair_2_lyrics,data\mir1k\MIR-1K\LyricsWav\khair_2_lyrics.wav,,False
khair_3_lyrics,data\mir1k\MIR-1K\LyricsWav\khair_3_lyrics.wav,,False
khair_4_lyrics,data\mir1k\MIR-1K\LyricsWav\khair_4_lyrics.wav,,False
khair_5_lyrics,data\mir1k\MIR-1K\LyricsWav\khair_5_lyrics.wav,,False
khair_6_lyrics,data\mir1k\MIR-1K\LyricsWav\khair_6_lyrics.wav,,False
leon_1_lyrics,data\mir1k\MIR-1K\LyricsWav\leon_1_lyrics.wav,,False
leon_2_lyrics,data\mir1k\MIR-1K\LyricsWav\leon_2_lyrics.wav,,False
leon_3_lyrics,data\mir1k\MIR-1K\LyricsWav\leon_3_lyrics.wav,,False
leon_4_lyrics,data\mir1k\MIR-1K\LyricsWav\leon_4_lyrics.wav,,False
leon_5_lyrics,data\mir1k\MIR-1K\LyricsWav\leon_5_lyrics.wav,,False
leon_6_lyrics,data\mir1k\MIR-1K\LyricsWav\leon_6_lyrics.wav,,False
leon_7_lyrics,data\mir1k\MIR-1K\LyricsWav\leon_7_lyrics.wav,,False
leon_8_lyrics,data\mir1k\MIR-1K\LyricsWav\leon_8_lyrics.wav,,False
leon_9_lyrics,data\mir1k\MIR-1K\LyricsWav\leon_9_lyrics.wav,,False
stool_1_lyric,data\mir1k\MIR-1K\LyricsWav\stool_1_lyric.wav,,False
stool_2_lyric,data\mir1k\MIR-1K\LyricsWav\stool_2_lyric.wav,,False
stool_3_lyric,data\mir1k\MIR-1K\LyricsWav\stool_3_lyric.wav,,False
stool_4_lyric,data\mir1k\MIR-1K\LyricsWav\stool_4_lyric.wav,,False
stool_5_lyric,data\mir1k\MIR-1K\LyricsWav\stool_5_lyric.wav,,False
tammy_1_lyrics,data\mir1k\MIR-1K\LyricsWav\tammy_1_lyrics.wav,,False
titon_1_lyrics,data\mir1k\MIR-1K\LyricsWav\titon_1_lyrics.wav,,False
titon_2_lyrics,data\mir1k\MIR-1K\LyricsWav\titon_2_lyrics.wav,,False
titon_3_lyrics,data\mir1k\MIR-1K\LyricsWav\titon_3_lyrics.wav,,False
titon_4_lyrics,data\mir1k\MIR-1K\LyricsWav\titon_4_lyrics.wav,,False
titon_5_lyrics,data\mir1k\MIR-1K\LyricsWav\titon_5_lyrics.wav,,False
yifen_1_lyrics,data\mir1k\MIR-1K\LyricsWav\yifen_1_lyrics.wav,,False
yifen_2_lyrics,data\mir1k\MIR-1K\LyricsWav\yifen_2_lyrics.wav,,False
yifen_3_lyrics,data\mir1k\MIR-1K\LyricsWav\yifen_3_lyrics.wav,,False
yifen_4_lyrics,data\mir1k\MIR-1K\LyricsWav\yifen_4_lyrics.wav,,False
yifen_5_lyrics,data\mir1k\MIR-1K\LyricsWav\yifen_5_lyrics.wav,,False
abjones_1,data\mir1k\MIR-1K\UndividedWavfile\abjones_1.wav,,False
abjones_2,data\mir1k\MIR-1K\UndividedWavfile\abjones_2.wav,,False
abjones_3,data\mir1k\MIR-1K\UndividedWavfile\abjones_3.wav,,False
abjones_4,data\mir1k\MIR-1K\UndividedWavfile\abjones_4.wav,,False
abjones_5,data\mir1k\MIR-1K\UndividedWavfile\abjones_5.wav,,False
amy_1,data\mir1k\MIR-1K\UndividedWavfile\amy_1.wav,,False
amy_10,data\mir1k\MIR-1K\UndividedWavfile\amy_10.wav,,False
amy_11,data\mir1k\MIR-1K\UndividedWavfile\amy_11.wav,,False
amy_12,data\mir1k\MIR-1K\UndividedWavfile\amy_12.wav,,False
amy_13,data\mir1k\MIR-1K\UndividedWavfile\amy_13.wav,,False
amy_14,data\mir1k\MIR-1K\UndividedWavfile\amy_14.wav,,False
amy_15,data\mir1k\MIR-1K\UndividedWavfile\amy_15.wav,,False
amy_16,data\mir1k\MIR-1K\UndividedWavfile\amy_16.wav,,False
amy_2,data\mir1k\MIR-1K\UndividedWavfile\amy_2.wav,,False
amy_3,data\mir1k\MIR-1K\UndividedWavfile\amy_3.wav,,False
amy_4,data\mir1k\MIR-1K\UndividedWavfile\amy_4.wav,,False
amy_5,data\mir1k\MIR-1K\UndividedWavfile\amy_5.wav,,False
amy_6,data\mir1k\MIR-1K\UndividedWavfile\amy_6.wav,,False
amy_7,data\mir1k\MIR-1K\UndividedWavfile\amy_7.wav,,False
amy_8,data\mir1k\MIR-1K\UndividedWavfile\amy_8.wav,,False
amy_9,data\mir1k\MIR-1K\UndividedWavfile\amy_9.wav,,False
Ani_1,data\mir1k\MIR-1K\UndividedWavfile\Ani_1.wav,,False
Ani_2,data\mir1k\MIR-1K\UndividedWavfile\Ani_2.wav,,False
Ani_3,data\mir1k\MIR-1K\UndividedWavfile\Ani_3.wav,,False
Ani_4,data\mir1k\MIR-1K\UndividedWavfile\Ani_4.wav,,False
Ani_5,data\mir1k\MIR-1K\UndividedWavfile\Ani_5.wav,,False
annar_1,data\mir1k\MIR-1K\UndividedWavfile\annar_1.wav,,False
annar_2,data\mir1k\MIR-1K\UndividedWavfile\annar_2.wav,,False
annar_3,data\mir1k\MIR-1K\UndividedWavfile\annar_3.wav,,False
annar_4,data\mir1k\MIR-1K\UndividedWavfile\annar_4.wav,,False
annar_5,data\mir1k\MIR-1K\UndividedWavfile\annar_5.wav,,False
ariel_1,data\mir1k\MIR-1K\UndividedWavfile\ariel_1.wav,,False
ariel_2,data\mir1k\MIR-1K\UndividedWavfile\ariel_2.wav,,False
ariel_3,data\mir1k\MIR-1K\UndividedWavfile\ariel_3.wav,,False
ariel_4,data\mir1k\MIR-1K\UndividedWavfile\ariel_4.wav,,False
ariel_5,data\mir1k\MIR-1K\UndividedWavfile\ariel_5.wav,,False
bobon_1,data\mir1k\MIR-1K\UndividedWavfile\bobon_1.wav,,False
bobon_2,data\mir1k\MIR-1K\UndividedWavfile\bobon_2.wav,,False
bobon_3,data\mir1k\MIR-1K\UndividedWavfile\bobon_3.wav,,False
bobon_4,data\mir1k\MIR-1K\UndividedWavfile\bobon_4.wav,,False
bobon_5,data\mir1k\MIR-1K\UndividedWavfile\bobon_5.wav,,False
bug_1,data\mir1k\MIR-1K\UndividedWavfile\bug_1.wav,,False
bug_2,data\mir1k\MIR-1K\UndividedWavfile\bug_2.wav,,False
bug_3,data\mir1k\MIR-1K\UndividedWavfile\bug_3.wav,,False
bug_4,data\mir1k\MIR-1K\UndividedWavfile\bug_4.wav,,False
bug_5,data\mir1k\MIR-1K\UndividedWavfile\bug_5.wav,,False
davidson_1,data\mir1k\MIR-1K\UndividedWavfile\davidson_1.wav,,False
davidson_2,data\mir1k\MIR-1K\UndividedWavfile\davidson_2.wav,,False
davidson_3,data\mir1k\MIR-1K\UndividedWavfile\davidson_3.wav,,False
davidson_4,data\mir1k\MIR-1K\UndividedWavfile\davidson_4.wav,,False
davidson_5,data\mir1k\MIR-1K\UndividedWavfile\davidson_5.wav,,False
fdps_1,data\mir1k\MIR-1K\UndividedWavfile\fdps_1.wav,,False
fdps_2,data\mir1k\MIR-1K\UndividedWavfile\fdps_2.wav,,False
fdps_3,data\mir1k\MIR-1K\UndividedWavfile\fdps_3.wav,,False
fdps_4,data\mir1k\MIR-1K\UndividedWavfile\fdps_4.wav,,False
fdps_5,data\mir1k\MIR-1K\UndividedWavfile\fdps_5.wav,,False
